s1,s2,s3,s4,s5,s6,내용
보고를 위한 보고 등 불필요한 업무감소와 토론이 아닌 지시중심의 업무처리가 개선되어야 함,도민의 입장에서 업무 추진,아직은 형식적이라는 느낌이 많이 들지만 잠깐이라도 직원과 상사간 소통이 가능하다는 점,성과관리에 대한 개별적인 기준 마련 필요,#NAME?,전보가 너무 없고 선호부서·보직에가야만 근평을 잘 받을 수 있고 실제로 직원들이 인식하는 주요 부서와 그렇지 않은 부서의 근평 차이는 너무 나는 거 같다.,수고하세요
"sns활용 방법, 이 일이 내업무에 과중된다는 인식을 고쳐야함. ","도민의견 수렴 창구의 다양화와 수렴된 의견의 분류와 그에 따른 우선 순위 정책 추진후 성과와 체감에 따른 사업의 지속성 또는 폐기가 
결정되어야함",리더의 직원들에 대한 이해도와 공감대 증가,"상하적 조직제도로 의견을 개진하기 껄끄러운 분위기
이야기해도 바뀌지 않는 연공서열적 분위기
그리고 상관들 보단 아랫사람에게 몰리는 업무",없음,민선이후 과다하게 임기제 임용으로 정규직 사기저하,-
"밴드,블로그 등 활용방법",-,인사고충에 대한 원활한 의사소통,성과면담은 고급관리자에 한정해야 됨,없음,"자기들만의 리그...인맥, 인맥 차단",..
"보고체계 개선과 창의적 생각이 나올수 있도록 사무환경 개선이 시급하며, 6급 이하 담당자들도 업무에 필요한 자기계발(관련 자격증 취득 등)을 한 직원들이 많은데 이런 사람들을 알맞은 전보·보직에 투입하여 하나, 인사과에서는 관리를 하고 있지 않은 것 같음....",소통과 홍보를 지속적으로 강화해야 합니다. 특히 홍보는 각종 SNS를 개편하여 발전하고 있는 듯 하지만 인력이 부족함이 느껴집니다. 더불어 아무도 관심없는 지역언론에 보도자료 뿌리는것에 목숨좀 안걸었으면 좋겠네요.,직원의 업무에 대한 부서장 의견을 들을 수 있고 직원의 고충에 대해 부서장에게 전달하는 계기가 됨,"3개월간 평균 시간외가 근평 요소가 되는지 의문입니다.
시간외 시간이 많다고 업무량이 많다고 할 수 없고, 업무에 성실하다고 할 수도 없을 것 같습니다.",-,"개인의 역량위주로 전보를 하되 주무과·주무과·주무계 위주의 근평의 개선이 필요함. 다면근평을 근평에 반영하는 등
합리적이고 객관적인 근평 도입 필요(장기 연구 과제임)  ",없음
현장 중심의 행정이 필요함.. 직원들에게 자주 고객들과 대화하고 만날수 있는 네트워크구축이 우선되어야 할 것으로 사료,모든걸 잘하려고 하지말고 선택과 집중이 필요함,-,"2019년도에는 성과면담을 직원별로 다 실시하였는데, 2020년도에는 성과면담을 필요한 사람만 자율적으로 하라고 하는데 좀 애매함. 의무사항이 필요함.",..,..,전보 희망전보자 중 한곳에 근무를 오래한 경우...희망전보지역으로 적극 반영 지원
..,"도민체감은 각 실과 및 행정 분야별 수혜집단, 대상집단을 선정하는 작업이 선행되어야 함
대상집단에 대한 반응과 일반도민을 대상으로 하는 각각의 성과를 가중치를 두어 합산하는 외부근평이 필요함",보완을 해도 성과면담 자체의 실효성이 의문됨,성과면담을 해본 적 없음,미작성,자의적 기준 적용,"근평, 전보·보직 발령 등 인사계의 권한이 너무 많음. 근평 등의 기준 확립 필요"
잘 모르겠음,"도민이 친근하게 다가올 수 있도록 친구처럼 편안하게 말할 수 있고 어떤말을 해도 될것같은 소프트한 소통이 가능해야된다고 봅니다.
직원들 자체가 전부 딱딱한 행정조직이면 이러한 소통과 정책관리, 체감은 불가합니다.
말썽이 나고 좀 시끄럽더라도 즐겁고 행복해보이는 조직에는 불만이 적죠. 
구글은 사실 정책고객을 위한 딱딱한 혁신을 부르짖기보다 창조적 직원들 의견을 존중하니 다양한 아이디어가 나오고 반영되고
고객들도 자기의견이 반영될 것이라는 느낌을 갖죠.
내부적으로 불통인데 고객의견이야 오죽하겠습니까",직무의 애로사항 소통 및 공감,만족스러운 성과면담을 해 본 적이 없음.,"...
의견을 제시해도 어디까지 어떻게 반영되는지 투명하지 않다.","지사님 관심사항에 대해서만 중요시 되는 풍조와 계속해 해 오던 기존 고유사무를 없앨 수 도 없고 그대로 수행해야되고
시대변화로 도민들의 요구와 민원은 더 늘어나고 있음. 근평시에는 윗분들 관심사만 좋은 점수를 받고 발탁인사라는 이름으로
대다수 직원의 사기를 저하시키고 있음.
새로운 혁신은 고유사무가 없는 혁신, 기획 이런 부서에서 기획하고 구체적인 실행안을 마련해야 되는데
고유사무로 바쁜 사업부서에서 자료를 받아서 편집하고 있는 것으로 보임","현장부서에서 일 하시는 분들의 소외감이나 승진에 대한 박탈감이 없도록 배려,
본청에 근무를 하지 않아도 도지사, 실국장 옆에 있어야만 승진기회 획득의 연공서열보다 현장에 더 중요성 부각하는 인사 시스템 필요"
"부서간 업무량의 정확한 근평을 통한 인력의 균형 전보·전보·보직이 필요, 일에 치여서 새로운 정책이나 성과에 대해 생각할 시간조차 없는 실정임",없음,본인 개인에 대한 의견보다 부서 구성원의 다양한 입장을 들을수 있어서 좋음,부서장의 리더십교육훈련,공무원 업무의 특성상 너무 성과관리 위주로 가는 것은 무모한 행정행위임. 가령 생각지도 못한 고질 민원이나 소송 등의 업무가 생길수도 있음,"1. 선호부서·보직과 기피·기피·격무부서가 존재함에도 불구하고, 기피·기피·격무부서 근무자에 대한 인센티브가 부족해보입니다.
2. 모든 사람이 만족할 수 있는 인사관리는 불가하겠지만, 모든 사람이 납득할 수 있는 인사관리는 가능할 것이라고 생각됩나다.
   설명이 가능한, 이해가 가능한 인사가 필요합니다.
",인사관리와 관련된 건의사항이 잘 실행될 수 있도록 해주십시요
"분명한 사무분장, 가독성을 높이는 홍보,마케팅 기법, 이미지편집프로그램 등  교육훈련",.,평소 업무에 대한 함축적인 얘기만 했었지만 부서장과의 상세한 업무 얘기를 할수 있었음.,"우리 부서만 해당되는 것인지 모르겠으나, 성과면담은 그냥 ""성과면담을 진행하였다"" 정도밖에 안되는 형식적이고 질이 낮은 제도임 
바쁜와중에 이것저것 성과면담 자료 작성하고 면담하느라 시간뺏기면서 본인 일을 할시간을 뺏긴다고 느껴질 정도의 제도임",공무원의 핵신을 위한 핵신은 불필요,"""열심히 해봤자 결국은 연공서열이다""라는 보편적인 생각을 깰수 있었으면 합니다.","직원이 누구와 근무하는 것이 가장 중요함. 에너지를 낼 수 있는 사람과 근무할 수 있도록.. 또한 상호보완이 되도록.. 
먼저 인사부서의 적소적재적재에 대한 심도있는 검토로 부서전보·전보·보직이 되어야 하며
이후 해당 부서장의 담당전보·전보·보직시에도 많은 고민이 필요할 것으로 사료됨
일이 힘든것이 아니라 사람때문에 힘든 경우가 많음"
인력충원,#NAME?,자신의 담당업무의 성과목표 등을 스스로 점검도 해보고 부서장과 그에 대한 면담을 통해 구체화 시킬 수 있는 기회가 되었음,사실상 성과면담을 하고있다고해도 제대로 되고 있는 경우는 많지 않은 것 같습니다. 직원들이 좀 더 자유롭게 의견을 표출할 수 있는 면담제도가 있으면 좋을거 같아요,...,인사인사교류 - 먼 곳에서 힘들게 인사인사교류근무한 자에 대해 확실한 인센티브 필요,공정하고 공정·공평있게 인사관리 해주세요
성공사례의 상세한 예시를 쉽게 알려주는 것. ,없음,부서장과 성과에 대해 논의를 할 수 있다,성과면담이 제대로 시행되지 않으니 보완점도 나타나지 않음,성과관리와 근평 등과 인사 근평 간에 직접적인 정략적 연계방안을 찾았으면 함,직급승진의 년수 단축,"가격증이나 전공 등은 직렬에 관계없이 그 업무를 희망전보하면 전보가 가능하도록 했으면 함.
공무원 시작시 정한 직렬이 계속해서 가는 것은 문제가 있음. 개인의 노력에 의하여 관련 자격증이나 학업을 이행한 경우에는 그 분야에 근무가 가능하도록 길을 열어줘야 함.. 그리고 전직까지도 가능하도록 기회를 줄 필요가 있음.
기능직은 행정직으로 전환이 가능한데... 일반직으로 들어온 기술직렬은 행정직 전환이 되지 않은 것은 직원들의 많을 불만을 낳게 함"
정책에 대한 심도있는 자기 개발,-,앞으로의 성과 추진 중 업무 방향 설정에 도움,실천 가능한 업무 중심으로 성과면담하여 성과 목표 설정,없습니다.,"다면근평 필요합니다. 사무관 이상 분들 때문이 아니라 6-7급 중에서도 안하무인인 경우가 많습니다. 직원에 갑도 아니면서 갑질하고
시군에 갑질하고 계장님 안계시면 자기가 계장질하고 집에가서 저녁 먹고 와서 9시에 초과찍고.. 그런 사람들이 승진을 하여 사무관 달면 문제입니다. 모든 직급에서 승진시 다면근평 또는 성과면담시에도 동료 다면근평이 포함되어야 한다고 생각합니다. 
똘아이 질량 보존의 법칙에 따라 어느 부서든지 또라이가 있고 그들이 물을 흐리고 있습니다. ",없습니다.
"공무원 마인드를 벗어버려야 함.
공무원이 아닌 사람들한테 공무원스러운 소통을 하려고 하는 것이 진짜 문제임. 
공무원들은 진짜 사회를 너무 모름. 직원들을 한 일년씩 공장이나 공사장에 현장인사인사교류를 좀 시키면 좋겠음. 
소통을 하고 싶으면 공무원들이 (충주시 김선태 주무관 같은) 똘끼가 있어야 함  ","국별 업무계획 홈피에 게재 후여 월별로 추진사항 성과률을 도민전체에 공개하고 추진이 잘 안된 부분은 지속적인 설명이 필요함
그리고 보고를 위한 자료작성 등으로 도민에게 도움이 될수 있는 창조적이고 체감적인 사업 구상을 할 시간이 없음
현재도 도청 공무원들의 업무 피로도가 상당한데 창조적인 일 구상은 다시 내년도, 내후년도 업무 가중으로 연결됨으로
도민이 체감하고 행복해지기 어려운 업무 환경임",부서장과 단둘이 얘기할 수 있는 기회여서 평소 하기 어려웠던 얘기들을 할 수 있었던 것 같다,"성과면담에 대한 부서장과 직원의 부담을 없애는 것이 먼저입니다. '성과면담'이라는 단어는 '성과(부진자에 대한) 면담'이라는 부정적 인식이 있습니다. 
명칭부터 바꾸고, 성과면담을 효율적을 할 수 있는 방법도 다각적으로 다시 살펴봐야 합니다. 현재의 성과면담 방법은 역으로 활용되거나, 성과면담의 목적을 잊게 하는 구조입니다. 
","성과, 성과 라는 말을 계속 쓰고 있지만, 정작 직원들은 성과에 대해 별 관심이 없습니다. 이번 기회에 조직의 성과와 직원들에게 와닿는 성과의 의미를 짚어볼 필요가 있습니다. ",승진제도 일관성있는 승진제도 유지,"수고 많으십니다. 이번 기회를 통해 직원들의 다양한 의견을 수렴하고, 힘드시겠지만 합리적인 방안이 마련되면 좋겠습니다. "
사례 교육훈련,미작성,"성과면담을 계기로 당초 세웠던 본인의 업무를 다시 한번 점검할 수 있고, 추진상의 문제점 등을 상사와 공유할 수 있는 긍정적 면이 있습니다.",성과면담제도 운영자체가 업무부담으로 작용,없음,"승진, 발령, 근평에 관한 불평 불만이 많으며, 객관적인 결과라기 보다는 인맥적, 연공서열적으로 이루어지는 것 같아서.",없음
SNS사용 및 활용 교육훈련,"우선은 무엇을 원하는지에 대한 니드와
일반 시민들은 몰라서 참여 못하는 경우가 많으므로 지속적 홍보를 통해
파악하고 알려서 참여과 소통이 이루어 지는 정책관리",표면적으로 드러나지 않는 나의 성과에 대해서도 말할 수 있는 기회가 되어 좋았다.,과장은 성과면담을 실시 하지 않음 업무에 대해서 무관심함,없음,.,"필요없는 부서 과감히 없애고, 필요한 부서 규모 확대 필요"
. ,상급자들의 신속한 의사결정,만족함,성과에 대한 구체화 필요,업무 담당자의 의견을 존중하는 분위기 및 반영,교육훈련이 필요한 사람에 대한 교육훈련과 업무에 필요한 전문성 교육훈련이 필요,없음
"sns 관련 교육훈련, 통신비 지원","현장중심의 업무에 치중 및 인원보충 필요함. 보좌를 위한 인원보다 현장에 필요인원 보충, 핵신개혁을 이전부터 발굴한다고 몇년간해서 발굴한 것이 없는데도 발굴하려고 인원을 차출해서 현장에 필요한 인원이 없어 바쁜데 또 현장에 핵신 발굴한다고 자료달라고 함. 
",어떤점은 잘했고 어떤점을 보완해야할 알 수 있었음,분기별 성과에 대한 보고는 단기간 성과 성과에 대한 독촉으로 받아들여질수 있음,해당사항 없음,전보 발표 후 준비기간이 너무 짧음,"지원부서와 사업부서를 돌아가면서 발령 내었으면 좋겠습니다.
지원부서만 도는 사람이 없었으면 좋겠습니다."
규제 완화(자유로운 소통이 가능하도록),"도민이 체감하는 성과를 내기 위해서는 전국단위의 사업 성과를 기본으로 하고 경남도만의 특성이 있기 위해서는 먼저 직원들이 업무량이 중앙부처 사업과 도 자체사업의 비중이 얼마나 되는지 파악할 필요가 있음. 도 자체사업의 비중이 많은 부서에서는 적극적으로 도민이 체감할 수 있도록 많은 도민이 참여가 우선 필요함.그러기 위해서는 정책참여도민단으로 1. 읍면동단위의 주민 협의체, 2. 정책관련 민원인(업무관계자) 3. 유관기관 4. 자문단 등으로 구성하여 정책목표 설정부터 참여할 수 있도록 하여야만 도민이 체감할 수 있음.",부서장과의 개인적인 상담,"형식적인 면담 지양, 면담자의 지속적인 관심을 통한 심층 면담 필요",-,개인별 역량이나 전문성을 고려한 전보·전보·보직이 좋은 성과를 가져오고 그걸 근평에 반영하는 시스템이 필요함,없음
업무의 전문성 제고와 내부소통 강화 및 조직활성화 필요,"도민이 이해하기 쉬운 지표를 만들었으면 좋겠음. 특히 전문적 용어를 활용하거나 과도한 외래어(한글+영어 등)를 사용한 경우, 실제 가시적 성과는 있으나 전문적 용어나 쉽게 이해안되는 표현으로 도민이 체감하는 성과는 낮을 수 밖에 없음 ",없음,짧은 시간에 다수의 성과면담으로 내실있는 결과 도출 어려움,목표지(목표달성도)의 일률적인 제시 지양. 업무 성격이나 형편 등을 고려하여 적절하게 설정하는 것이 필요함 ,.,승진시 다면근평제 도입(10% 정도) 필요. 
.,..,희망전보자 뿐만 아니라 의무적으로 면담 시간 부여(희망전보자만 면담시 부서장에게 잘 보이려는 노력으로 보일수 있음),성과와 상관없이 부서장의 마음에 따라 근평하는 부분,"ㅇ성과근평에 성과에 대한 근평만 할 수 있는 제도적인 장치 필요
 - 성과근평 시 사교관계에 의한 근평이 이뤄지지 않도록
   성과관리는 내부적으로 계획·실행하고, 근평은 외부전문기관 또는 용역을 통해 실시",집합교육훈련 시수 채우기가 어려움,없음
sns 활용방법 교육훈련 ,"헛구호가 아닌 정책도출과 한꺼번에 확 바꾸는 것도 중요하지만(완전히 새로운 경남이 어려운것처럼)
실행가능하며 한걸음씩 일관성있게 점진적으로 나아지도록 직원아이디어 반영과 지원",딱히 불만이 없습니다. ,업무의 특성상 성과가 나타나지 않는 업무에 대한 근평에 있어 보완이 필요함,"업무에 대한 정당한 근평와
전보·보직상 가시적인 성과가 나타나지 않는 업무에 대한 배려가 필요함",잘 모르겠습니다.,"선호부서·보직 순환 근무자로 인해 다른 직원들의 상실감이 큼. 
순환근무자의 역량이 과연 탁월한지..그 사람이 꼭 거기에 가야만 하는 지에 대한 근평이 이루어져야 함"
소통 방안 및 관리 방법 교육훈련/ 과도한 업무분장 지양,"상사들의 결재, 상사취향, 상사입맛에만 맞는 딱딱한 업무보고, 보도자료식의 홍보자료가 아닌 젊은 직원들의 시각과 관점, 아이디어를 수용하여 현시대 흐름에 맞는 SNS 등의 정책소통 플랫폼 운영  / 또한 관련업무 전속담당직원 선정하여 플랫폼 지속 운영 및 홍보 필요. 도민들은 도에서 지원하는 사업들을 알지못해서 참여하지 못하는 경우가 더많음.  지속적인 홍보와 정보노출을 통해서 최대한 많은 도민들이 참여하고 체감할 수 있는 도정정책을 실행할 수 있어야함. 좋은 사업을 만드는 것도 좋지만 그전에 가장 중요한것은 도민들이 알게 하는 것임.",다 좋음. ,성과면담에 무슨 효과가 있는지 잘 모르겠음. 불필요한 일만 추가된것 같은 느낌임,없음,승진제도(직렬별 티오로 인해 상대적 박탈감등이 발생할수 밖에 없는구조),없음
플랫폼을 위한 플랫폼이 되면 업무만 증대될뿐입니다.,"도민들이 정책에 관해 알고는 있으나, 참여까지 이뤄지기가 어려운 것 같습니다. 좀 더 도민들이 적극적으로 참여할 수 있는 방안이 마련되면 도민도 체감하는 성과를 내는 도정이 될 수 있을 것 같아요",평소에 말 못할 부분도 성과면담시에는 자유롭게 말할 수 있어서 좋았음.,성과면담의 필요성과 효과에 대한 부서장과 직원에 대한 교육훈련이 필요할 것 같습니다.,-,교육훈련훈련 활성화로 직원 역량 강화 지원,-
정책소통플랫폼 접근방법 간소화 등을 통한 자율적 교육훈련 참여 유도,"도민이 체감하는 정책을 만든다고 한다면 도민입장에서 정책수립이 돼야 한다고 생각함. 도민입장이 되고 싶은 시간적, 마음적 여유가 부족하여 절대 도민입장 될 수 없음. ","
- 부서장과 본인의 성과에 대해 허심탄회하게 이야기 할수 있는 기회가 주어진 것에 만족함","성과면담이라는 기간을 두고 성과면담이라는 주제를 씌우는 틀 자체가 직원에게 부담으로 다가옴. 성과면담 공문이 오면 ""과장님이랑 무슨 얘기를 해야할지.."" 라는 생각부터 먼저 들게됩니다. 
조직이라는 구조에 따라 상사와의 성과면담을 본래의 취지대로 하기가 어려운면이 있음.
성과면담이라는 틀을 지우고 상시적이고 자율적으로 면담할 수 있는 형태가 되었으면 좋겠습니다.",..,"전보의 경우 당사자의 분야별 적성에 대한 근평프로세스, 전문관 적극 활용 등으로 특정분야의 전문성을 키울 필요가 있음에도 이러한 게 제대로 수립되지 않거나 활용되지 못하고 있음",.
"고객마인드 함양에 대한 교육훈련이 필요하며, 적극행정을 추진할 수 있도록 좀 더 폭넓은 업무관련 면책 보장과 1인당 업무량을 줄여 현장에 다가갈 수 있는 여유를 만들어주는 것이 필요함(업무다이어트 절실)",담당자의 권한과 책임의 강화,"업무에 있어서 힘든 점, 담당사업 목표 등에 대해 질의하셨고 이에 경청해주셨음",사업소 업무는 계획에 따른 검사업무로써 많은 이변이 생기는 업무가 아니기 때문에 면담을 잦게 하지 않았으면 합니다.,성과관리 제도에 대한 기준과 범위를 좀 더 넓히고 구체화할 필요가 있을 것 같습니다. 업무형태에 따른 기준마련도 필요합니다.,희망전보 부서 혹은 희망전보 지역으로의 인사이동이 필요,"인사관리는 예측이 가능하므로 단기, 중장기 인력관리계획을 수립해서 실과에서 원할한 업무 수행이 가능하도록 해야하며, 직급별 적정한 전보·전보·보직과 운용이 필요함, 그동안 5년간 운영한 서부청사 인사 조직의 활성화 방안 필요, 실국별 직원(기술직)들의 인사, 조직의 사기저하 등 "
직원들간의 밀접한 인사교류,없습니다.,부서장과의 소통에 있어 좋은 제도라고 생각.,"근평자료를 제목만 바꿔서 하는 성과면담이 과연 실효성이 있을까요? 
직위와 직급에 맞게 주어진 일을 어떻게 실행하여 어떤 성과를 낼지 서로 이야기 하고 피드백 받아야 합니다.",조직의 업무는 개인의 역량도 중요하지만 협업에 의한 추진이 중요하므로 성과관리를 팀이나 과의 프로젝트 과제로 삼아 추진하였으면 합니다.,공정·공평 인사관리 시스템 확립필요,수고하세요.
의무교육훈련과 연계하여 인센티브 부여하는 방법,"체감의 실질적 당사자인 도민의 생각, 마음을 알고 도민 관점으로 정책을 계획해야 한다고 봅니다. 정책 구상단게부터 여러 채널을 통해 도민과 효과적인 방법으로 소통해 나가야합니다. ",사적 공간에서 면담,#NAME?,개인의 업무 스트레스나 고충 등이 윗선까지 연결이 안된다는 점 ,"교육훈련훈련에서 너무 행정적으로 판단해서 꼭 받아야하는 교육훈련을 못받게하는 경우가 발생 소통의 단절 아무리 말해도 말하는 사람만 답답하고 이행되지않음
인사인사교류를 필요하다고 판단되면 적극적으로 할수있게 해주었으면 함 상위기관이나 유관기관등에 인사교류를 통해 조직의 발전이 가능한데 고이게 만들어버림
",인사는 공정·공평에 있을때 직원들의 상실감이 크게 다가옴. 인사의 기준이라고 정해놓은것은 예외를 두지 않고 지켜졌으면 좋겠습니다.
"도민이 쉽게 이해할수있게 언어교육훈련, 이해를 돕기위한 사진 촬영이나 포토샵 교육훈련 등",없습니다.,"업무에 대한 담당자 생각, 관리자 생각이 충분이 토론이 되어지고 있음",형식성 탈피,지금 만들어진 성과관리 및 정책관리 원칙을 지키면됨 열심히 일한 사람이 좋은 근평을 받을수 있도록하면되지만 원칙이 지켜지지 않고 있음,인사인사교류에 대한 정보공유 부족,사업소에 근무하는 업무는 그 업무 목적이 도민 체감정책업무이기 때문에 현재 하는 업무의 더이상의 정책을 요구하는 것은 업무의 기본을 막는 일인것 같습니다.  
플랫폼 이용에 대한 이점과 홍보가 필요할것 같습니다.,"하나의 정책이 정해지면 길면 1년, 짧으면 반년만에 또다른 정책으로 교체되어 정책의 일관성이나 충분하게 근평하거나 환류할 시간이 없는 단점이 있음.
",부서장과의 단독 면담으로 조금 더 구체적이고 현성과인 성과 방향 제시 및 검토,과도한 업무를 줄이고 효율적인 업무배분(새로운 업무를 할때는 연공서열적이고 오랜 일을 없애는 필요없는 일 없애기 운동),#NAME?,"직렬별 승진 소요 기간이 너무 차이가 나 근무의욕을 많이 떨어지게 되는 원인이 됨. 이를 위해 복수직을 만들었음에도 이용을 하지 않음.
이는 또 다른 차별이 되고, 도정의 경쟁력을 상실하게 되는 원인이됨.
",그래도 경남도는 인사관리 잘하고 있음
"도정은 다양한 분야의 일이 존재하고 그 일들은 도민 정책수요자에게 갑니다. 이렇게 행정서비스를 해왔습니다. 그 정책의 수혜자는 행정의 생리를 잘 알고 있는 사람은 그 서비스를 잘 받고 많이 받고 있지요, 그 서비스를 받지 못하는 도민은 아무리 좋은 행정서비스라도 수혜를 체감하지 못하지요. 그러한 정책의 홍보를 위하여 소통플랫품을 만들고 하지만 그 플랫폼 역시 기존 행정 생리를 잘 아는사람이 더 빠르게 정보를 입수하게 되어 행정서비스가 개인별 편차가 생길 수 있다고 생각합니다. 우리조직은 경직되고 폐쇄적이고 이기주의적인것 같아요, 또한 전문성도 떨어지는 경우도 많고요, 성과에 대한 근평 또한 그렇고, 조직 개편에 있어서도 조직에 대한 세부적인 근평을 못하고 부서에서 제출한 자료만으로 판단하는 것 같고

이에 대한 해소를 위해서는 직원들이 소통을 할 수 있는 기회를 많이 주어야 할듯합니다. 한 사람이 여러 부서에서 근무할 수 있는 기회로 안목을 높여서 각 부서별 도정목표를 이행할 세부 이행목표를 만들어 그 이행목표가 정책수혜자에게 어떻게 다가가고 실제로 도움이 될 수 있는지를 근평 지표화 하여 실질적인 행정서비스가 이루어 질 수 있도록 하여야함.",도민의 의견 적극 수렴, .,객관적인 면담이 어려움,업무에 따른 성과관리 환경과 조건이 다르므로 직렬별 업무별 개별적인 성과관리제도 도입 필요,공정·공평·공평 근평 및 승진 제도,"일하는 사람만 계속 또 시키고, 성과나 일에 대한 보람은 느낄수 없습니다. 일 안하고 놀아도 월급받고 승진하는 사람들 조직의 사기를 떨어뜨립니다. "
"업무 소통 및 협조 교육훈련, 플랫폼 지원 및 활용방안 등","도민이 체감하는 성과라는 개념 자체가 모호하고, 도민들은 당장 내가 편한것을 위주로 그져 다 지원을 원하는 것을 즉각적으로 해결되면
체감된다고 느끼므로 단시간 내의 성과는 어려울 것으로 생각됨. 정책관리에 있어서 이미 성과 위주로 바꾼다고 숫자로 보여주기 위한 말장난 같은 목표로는 실질적인 개선은 되지 않는 다고 생각됨. 제정된 법의 테두리에서 집행되어야 하는 행정에서는 현실상 불가한 것들까지 법의 재,개정 등개선되아야만 되는 것들이 있음. 성과는 결과만을 보게 되는 것으로 생각되어 담당 공무원에게 업무부담이 늘어나 업무만족도가 떨어질꺼 같음.",자유롭게 소통하면서 여러가지 직원들의 의견을 표현할 수 있는 계기가 되었음,성과면담 시행여부 확인,없습니다,"시간충족형은 교육훈련의 질이 낮고
의무적 교육훈련시간 청렴, 사회복지 교육훈련제도는 필요가 없다고 생각함
자기 직무분야의 교육훈련을 자율적으로 할 필요가 있음","개인의 인사관련 기록 공개 : 가점이 언제 몇점이 등록되었는지,  인사점수와 순위 변동 사항 등"
정책에 대한 직원들의 정확한 업무 이해와 업무분담에 대한 유연한 자세,형식적인 민간인이 참여하는 위원회보다 업무담당자별 민간인과의 소통을 강화시키는 것이 더 효율적이라고 생각함,^^,형식적 면담에 그치지 않고 실질적으로 결과를 낼 수 있는 방식으로 개선이 요구됨,없음,본청 및 주무과·주무과·주무계를 우선시 하는 것,없음
참여하는 방법 교육훈련,"성과를 내는 도정을 위해 하는 업무이기는 하나, 분기별, 반기별, 연도별로 성과를 내기 어려운 분야도 분명히 있을것
매번 성과를 짜내어 자료 제출하라는 지시없이 몇년간 자율적으로 운영할 수 있도록 했으면 좋겠음","ㅇ 직원들과의 소통, 조직의 목표 및 방향 설정 공유
ㅇ 직원들의 목표와 조직의 목표가 연계되도록 토의
ㅇ 목표에 어느정도 기여하고 있는지 또는 기여했는지 피드백 가능",향후 운영과정에서 나타나는 문제점들에 따라 보완 필요,.,-,.
대민 접점에서의 소통방법,없음,성과면담으로 나의 현 상태를 진단할 수 있어 많은 도움이 되었습니다.,성과 면담 시 직원의 성과나 애로사항에 대해 면담하기보다는 형식적인 면담만 진행하여 정확한 성과 측정을 하는지 의문이 듬.,없음,이부분은 사실 체크하고싶지 않았으나 필수항목이라 하였음.,없음
수요자 중심의 사고를 할수있는 교육훈련이 필요합니다. ,업무 부담이 과중되지 않도록 지속적인 모니터링과 즉각적인 조치 필요,개인의 근평지표 입력,형식적인 면담이 되지 않도록 면담 방식 개선,딱히 없습니다. ,연공서열에 따른 인사 승진,"전보제한2년2년이상 장기근무자가 본인의 편의를 위하여 보류신청을 하는데, 이를 인사부서에서 기준에 의하여 미반영하여 전보제한2년2년이상 근무자 전보근무 전보·전보·보직"
효과적인 플랫폼 사용 방법,없음,"성과면담을 통해 부서장과 공식적으로 소통 할 수 있는 시간적, 공간적 기회가 생김","성과면담에 대한 실효성 없음
형식적인 면담...
",-,"교육훈련훈련 : 직렬별 업무특성을 고려한 교육훈련 지원 필요
성과급 : 성과급 원래 취지가 지켜질 수 있도록 기관 외 외부기관의 규제 등이 필요함",-
모든 소통은 공감에서 시작함. 공감이 선행된 교육훈련이 실시되어야 한다고 생각함,없음,부서장님과의 면담을 통하여 자칫 놓칠 수도 있는 세세한 것까지 상담이 이루어짐,"행정의 특성상 성과의 수치화가 어렵기 때문에, 목적전도 현상이 발생되므로 
부서원, 담당별 공동목표 및 성과달성을 이룰수 있는 조직구조, 진단방법 개선필요",성과관리의 실효성 확보를 위해서는 그 선결조건으로 기존 업무에 대한 과감한 다이어트가 반드시 필요함.,전보시 개인의 의사를 좀더 반영해 주었으면 함,대다수가 공감할 수 있는 인사관리 제도가 정착되었으면 함.
성과 위주 접근이 아닌 좀 장기적인 관점의 접근이 필요할듯 함,-,성과면담을 통해 소통의 기회 제공,형식적인 면담은 시간낭비,업무 상에 아이디어를 자유롭게 이야기하고 소통하는 분위기 형성이 되었으면 좋겠습니다.,"현재의 연공서열적인 승진체계에서는 일을 열심히 할 유인도 없고, 이런 승진체계에서 무분별하게 임기제를 받는것도 불만이 쌓일것임. 개방적이고 유연한 인사관리가 필요하다고 보여서 인사인사교류나 인사인사교류가 제한적, 소극적으로 진행되고 있는것도 문제라고 선택함",#NAME?
필요성 인식 교육훈련 및 정책소통플랫폼 자체가 또 하나의 업무과중으로 다가가지 않도록 구조화 필요,"단기간에 도민이 체감할 정도의 성과를 내기는 어려울것이며 토론회, 온라인 정책 참여를 유도하여 참신한 아이디어를 채택
 
예) 내가 도지사라면,.... 온라인 코너를 만들어 남녀노소 누구나 참여할 수 있도록  ",개별 출장이나 식사시간 이외에는 의견을 나눌 시간이 없었는데...직접 대면하면서 진솔한 대화가 가능했습니다.,형식적인 성과관리 타파,연공서열이 얼마 되지 않아 잘 모르겠음,"교육훈련훈련이 업무를 하다보면 시간을 따로 내기  힘든부분이 있어서, 그부분에 대해서는 교육훈련시 교육훈련에 집중할 수 있는 장소선정, 시간 등을 통해서 많은직원들이 원활히 교육훈련을 받을수 있도록 했으면 좋겠습니다.","연공서열 중심의 승진, 근평 제발 이젠 그만..."
